Method:,erol,,
Host Date-Time:,7/12/23 @ 13:56:46,,
Header Version:,1,,
System Temp (C):,39.45,,
Detector Temp (C):,26.15,,
Humidity (%):,19.2,,
Lamp PD:,3471,,
Shift Vector Coefficients:,-4.80707,0.053312,-0.000138677,,
Pixel to Wavelength Coefficients:,1763.6,-0.910608,-0.000244451,,
Serial Number:,6110061,,
Scan Config Name:,erol,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,  11.71,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,1,,
PGA Gain:,64,,
Total Measurement Time in sec:,  1.593,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.370984,-0.761223,22318.000000,128789.000000
905.248306,-0.746417,26694.000000,148878.000000
909.121227,-0.736684,30240.000000,164917.000000
912.989749,-0.713464,35053.000000,181213.000000
918.140932,-0.711130,39668.000000,203972.000000
921.999187,-0.701188,44171.000000,221986.000000
925.853041,-0.697769,49463.000000,246632.000000
929.702495,-0.697093,55176.000000,274690.000000
933.547549,-0.691910,62603.000000,307968.000000
937.388203,-0.686993,70557.000000,343189.000000
941.224457,-0.679999,79215.000000,379146.000000
946.332618,-0.672988,90003.000000,423882.000000
950.158605,-0.669610,97001.000000,453301.000000
953.980191,-0.662922,104340.000000,480145.000000
957.797378,-0.660788,111157.000000,509008.000000
961.610165,-0.658960,117414.000000,535402.000000
965.418551,-0.656163,124361.000000,563440.000000
969.222537,-0.652169,131496.000000,590312.000000
974.287675,-0.649616,140925.000000,628933.000000
978.081394,-0.648045,148023.000000,658225.000000
981.870713,-0.646720,155197.000000,688023.000000
985.655632,-0.646637,162010.000000,718090.000000
989.436151,-0.641826,170019.000000,745286.000000
993.212270,-0.642054,176266.000000,773077.000000
998.240251,-0.638658,184964.000000,804907.000000
1002.006103,-0.637155,190519.000000,826215.000000
1005.767554,-0.634881,196102.000000,845985.000000
1009.524606,-0.633149,200098.000000,859788.000000
1013.277258,-0.630848,204164.000000,872624.000000
1017.025509,-0.630658,206631.000000,882783.000000
1020.769360,-0.628748,209246.000000,890031.000000
1025.754318,-0.625509,211932.000000,894758.000000
1029.487902,-0.623784,213316.000000,897030.000000
1033.217086,-0.623225,213821.000000,897999.000000
1036.941870,-0.622781,213615.000000,896216.000000
1040.662255,-0.621929,213930.000000,895778.000000
1044.378238,-0.620191,213905.000000,892096.000000
1048.089822,-0.619111,213173.000000,886836.000000
1053.031756,-0.618483,211884.000000,880200.000000
1056.733073,-0.617731,211098.000000,875417.000000
1060.429990,-0.617408,209880.000000,869720.000000
1064.122506,-0.616578,209078.000000,864742.000000
1067.810623,-0.616052,208224.000000,860167.000000
1071.494339,-0.616701,206922.000000,856066.000000
1076.399116,-0.615688,206676.000000,853057.000000
1080.072566,-0.615811,206200.000000,851334.000000
1083.741615,-0.616556,205636.000000,850463.000000
1087.406264,-0.615599,205874.000000,849572.000000
1091.066513,-0.614465,205797.000000,847041.000000
1094.722362,-0.616138,205514.000000,849141.000000
1098.373811,-0.616440,205628.000000,850202.000000
1103.235565,-0.613764,206788.000000,849747.000000
1106.876747,-0.615289,206389.000000,851090.000000
1110.513529,-0.615020,206615.000000,851494.000000
1114.145910,-0.614736,206738.000000,851445.000000
1117.773892,-0.615565,206547.000000,852284.000000
1121.397473,-0.614868,207088.000000,853146.000000
1125.016654,-0.616182,206464.000000,853151.000000
1129.835385,-0.614212,207418.000000,853215.000000
1133.444299,-0.614121,207695.000000,854175.000000
1137.048813,-0.611797,208493.000000,852881.000000
1140.648927,-0.611875,208223.000000,851929.000000
1144.244641,-0.610651,208337.000000,849997.000000
1147.835955,-0.608933,208774.000000,848418.000000
1152.617529,-0.608368,208238.000000,845138.000000
1156.198576,-0.607131,208484.000000,843731.000000
1159.775223,-0.605425,208962.000000,842349.000000
1163.347470,-0.603848,209317.000000,840722.000000
